ID,Is_Lead
HXQGBDGY,0.44
28HDZICG,0.47
GHBPKPJC,0.01
FDWZFSSC,0.12
FWTIWZF3,0.0
JYMHVPMY,0.05
AHUDO2T6,0.21
ACDHABS3,0.07
5NTYJJDV,0.19
2M4VPY4V,0.17
KAHP9XLF,0.05
YRLEWZFQ,0.41
JZWVLXHJ,0.25
JZZSXUKT,0.26
93RURE2J,0.32
4RNB6FDV,0.47
27E7HMMG,0.0
2QEFQQWN,0.09
DDTCD2XI,0.32
VGVEYSEG,0.77
WCXVE7RK,0.13
RTN4R3UE,0.02
K2PVS4RB,0.0
Q36J686Z,0.19
NWKHMEOF,0.18
PVJYQQGT,0.53
GPUMRNWC,0.12
LXHCDSVH,0.23
BNIUPSVK,0.43
FW3QI3WW,0.18
IEEUGXMY,0.02
FVVXDLBO,0.05
UC2JJB6Y,0.05
3WPAHP52,0.67
HDTCJJOE,0.28
UCSB9GKK,0.14
HANBFYTH,0.21
FLUU2HNV,0.7
64PIYWDJ,0.52
9AHNH8ZX,0.5
KLHUI2SE,0.38
YRHYUJFW,0.65
G5RWWH7F,0.14
SCBT9BAX,0.0
UGZGLVNB,0.09
2RRNUFBV,0.29
B6O59TEY,0.09
CYHRRYH6,0.06
GGYZVHWU,0.26
K6AM97RN,0.25
ATM5JQYM,0.01
7GYZSGWA,0.0
DFWUDQCR,0.22
E2Z98CR3,0.27
GD9KTSLY,0.09
2AMRA4OD,0.04
CFHZ3ZE6,0.47
BOMLVM5K,0.02
OBBEGBSY,0.26
FJEHOK8W,0.21
3GMAEVPJ,0.12
WAVDLUTH,0.0
6EN8GZX6,0.41
VXGA3GKB,0.44
U4MZ3U8C,0.15
GU4RDP8S,0.19
N3TPNHCD,0.02
JRRHWQC8,0.26
NZ5GBHZK,0.06
LCUC2LAJ,0.28
DJDSU9D2,0.95
647K6DBR,0.11
7NFXVESK,0.25
EWUWF25N,0.1
7QKYPLA8,0.17
XQVXWBNO,0.05
CNWH4MVA,0.02
AFJUJFQD,0.23
QKMFDX9H,0.19
YYMB5QBY,0.09
IRY3SEX7,0.55
CUAUZJH8,0.15
JYFUYQF5,0.56
I4NYEDFE,0.6
M3RSPRGQ,0.26
JIL3KWQN,0.21
X4B5ZBWU,0.03
AHYTHHSE,0.0
E7EHQEQK,0.22
FAMHAVN3,0.15
CCGKCTR6,0.22
6DTSELRV,0.08
LU8X3G6O,0.44
NPFDAUJY,0.08
DR9PXCFU,0.08
SHVZMWBV,0.71
8TGXGZHX,0.54
IKRSHJFW,0.28
TYKRZDCP,0.6
9IDA3L7P,0.24
ASOWCMDB,0.11
KZ5J2JGC,0.43
D5UCFKTV,0.0
2N8FFP7W,0.0
SA36MTFS,0.12
8UDMURUH,0.01
7VSQV6QN,0.32
IFUG9NC5,0.0
EQXDLQRG,0.07
JAR8YY9J,0.01
BS4TAF6M,0.01
WQJ9SPT9,0.12
7QHT4ON2,0.56
FNGPQN7B,0.12
DDOMDZRU,0.47
QYR9HXHP,0.5
S4NGXFXY,0.0
NOJ2KSCC,0.49
ZD2JRUNB,0.54
GZIPTSNN,0.09
LCFYUVE9,0.45
PPANVU9W,0.24
DRPV9STB,0.22
AFSPF3WZ,1.0
GPXEUNND,0.28
NSADMDSM,0.33
CKWJU8RQ,0.33
F7MNZSSU,0.01
BDGVMPZY,0.74
IA3MSRTR,0.09
JD3WTPMG,0.21
QT6DF6EW,0.36
NVDEMCZ2,0.45
9B6UTJVT,0.54
U6QYES9J,0.09
DZQPDSPS,0.24
CRGXVSBF,0.02
XIHJYS2V,0.78
7X2MC5GZ,0.3
ZBDVXTM5,0.06
UUBQPBR5,0.0
CUMZFBTD,0.26
E7QXYSQN,0.01
6UQAJP48,0.37
QHWB768Y,0.25
R6RXMXOJ,0.19
WXQGZG5K,0.0
GCUFKLHG,0.11
SJX4372M,0.11
VGEAMUZZ,0.03
ZWDXVKDF,0.34
WGMRCYLR,0.01
SI43K5CY,0.2
DSNBS2RS,0.65
XIMZCKSR,0.53
VEW9FXHT,0.0
JZJHDDDJ,0.51
4TYUR5HA,0.56
UHCDFDRX,0.43
E5QMOFUM,0.01
PSNVWDZH,0.07
5IQSWONG,0.33
CEAZEPY4,0.87
2TNRJXRX,0.0
BFROCARA,0.02
GRTJMRKM,0.0
6EDAM4EU,0.41
NRDB58KL,0.04
TCPJCWZR,0.01
KG8LD2BE,0.0
FHZ3XFDV,0.23
NZKCSDZ4,0.55
6DG6KJG4,0.09
BVPKDUNU,0.25
APR4PQ6X,0.03
HPWS8YFG,0.11
VRPBGTPU,0.28
XBCSX7G7,0.06
KEH3G8UA,0.41
WXNAVFLT,0.01
8J8NJ7M6,0.02
D4UW7Y85,0.09
SZRESXN7,0.02
UUQSXK5T,0.06
GPMUKOVY,0.57
6FYOKAZ5,0.03
ENUB4N9S,0.7
KERBCSGE,0.98
7HTA4C6J,0.12
4BTVMT6W,0.0
MR3J9USD,0.18
7S83FNQW,0.64
MSOKLC7S,0.0
GFMNATHU,0.02
NG4ABA6H,0.98
3GFHRAQY,0.24
BCSGZZPE,0.43
PQ9MCGZC,0.34
K7N596CG,0.07
8RUL6JEE,0.3
CVOFJRMP,0.03
B4FQX4HG,0.05
W7HAQKDV,0.12
8C5PKJ7G,0.14
E4GQJZSQ,0.06
UENREGNV,0.26
CC4LYHEW,0.31
GDKGLTBT,0.17
G3ER8CGX,0.39
ZG4KT59X,0.0
LW93KJMZ,0.24
9AR5FBSQ,0.12
FHLWDMRV,0.09
EON5DCWD,0.94
J8UXTMYV,0.51
IXBW5HZH,0.01
LDHQB458,0.08
GNHTIKF3,0.0
8NO22KTE,0.0
SGJFSSJK,0.61
TD8D3NDD,0.0
8RQ27JGU,0.39
A8GKBMBO,0.19
ODVMNUDE,0.59
EA5CRL7L,0.03
6UI7RPCH,0.13
7BJYM94L,0.01
X3PZJF7F,0.4
YCSSMPV7,0.14
4EV9VXL8,0.49
IPNJFQTY,0.18
XPWNJRJC,0.07
3WHNSBRB,0.27
U245YKM8,0.0
68EFFKBB,0.92
NEUII7AB,0.9
F7CSLYWT,0.04
5EOMOZHG,0.2
6CYUTUFN,0.3
K7YUC8LF,0.26
LSMCXMXA,0.06
AALPBPBP,0.0
ZPX6VOH2,0.14
CDBFWQGM,0.41
JUQ76NJV,0.24
QHE7UULR,0.0
JRMNMZJA,0.05
GZ4EZZFX,0.51
9L9JFIAR,0.48
GTOE4RN4,0.0
CUYE7ST4,0.1
FFM6DHEA,0.4
5XUK7XLZ,0.6
4HTGJEEZ,0.0
RWYBAMRG,0.12
RQZGBGGN,0.28
ITVSUTU9,0.73
6UMDX7NQ,0.35
4IVKAFYY,0.55
ZKYOSQEU,0.16
9JYXIDL4,0.98
XNURWQBT,0.0
HVNIJFQC,0.05
CGGVBJKZ,0.93
JO9DV3NY,0.31
EYENUQR9,0.31
FPU4ZI8H,0.07
2MALVTY4,0.05
QN4REV7D,0.0
27F5ZEQA,0.33
MKJUE4K2,0.23
4ECWF4DN,0.0
KWBJAQMY,0.0
3YAW8OEY,0.06
ZHHFH7H9,0.05
BO2822VM,0.09
NQZUPVUA,0.02
MUT2PZ7T,0.38
2MFKPCPS,0.39
4RLVOVMJ,0.13
JISGN7XF,0.11
NNOFHDAC,0.0
ODE23CPW,0.0
ZNTYNFME,0.09
NQM48VKU,0.13
DGVBCYY7,0.0
9F38NUKC,0.24
3Z7KCIZS,0.05
ERAX3STD,0.02
N9TCDYYG,0.0
R4UMWUZK,0.42
CPERTJBJ,0.09
4XK5BMA9,0.04
2PKDM5B2,0.03
SW5GTHZN,0.36
ATJAEQCJ,0.47
NHNXBSFY,0.44
NRGYTYZJ,0.01
UZNABWAT,0.0
CVP3VZN5,0.03
JEAYZXKC,0.06
87LFEVTZ,0.14
N7ZEJ2CQ,0.0
AQT3ADAP,0.34
WC8ROKF8,0.02
D9HWEXEV,0.58
MMHWGZCN,0.0
YKCAQFHU,0.28
NDPFBA9X,0.47
3T6C7AEA,0.23
GZWB38J9,0.01
OFTXYNYQ,0.02
QYZQIXBJ,0.51
N7PJT5HO,0.12
JP2PNX9X,0.2
N3FUZDIH,0.03
UXKAVBLS,0.0
G24JWDKS,0.0
HQOKKQVX,0.22
HTXFVZZG,0.1
3TJKVA4J,0.02
CRGS7FPX,0.01
BTRJTMR3,0.03
ERLPQML7,0.0
9FDFXYAW,0.65
MEEKFDZZ,0.53
ZGY8ETLW,0.27
AXVUJHT9,0.01
35ILRW7D,0.38
DR2U5JQX,0.47
WHZ7CEY6,0.63
UCPMS2KF,0.0
HB6MJHDN,0.16
7NWFPJ2X,0.56
4QXD6K4K,0.56
D6H3RTAZ,0.11
L67WSXUY,0.25
IXHVY78L,0.76
H6KE88O6,0.4
EAPKN7G8,0.97
GQXJSFJE,0.25
BVHSRABV,0.42
DUY76GFX,0.47
O7H9KPSD,0.59
6EDBA5AN,0.11
V24CAXFM,0.28
SERPSAWP,0.22
H47QYY5K,0.08
5TYQNFPE,0.53
HGDB7KMR,0.41
DWH8Q2S3,0.43
USNBQZAK,0.0
I89VR4AB,0.24
ATZVVXWJ,0.26
HOKP6ZTS,0.09
ZDKT2SSW,0.09
DK5HJYQE,0.07
ABKW7FGW,0.17
BCSW3W7T,0.0
6T4VNEWD,0.5
XBALBNYB,0.2
NWMJR3W5,0.57
Q5BJ4ULE,0.01
DOFSPEWD,0.44
ANX8FUBJ,0.01
KPR67SVO,0.0
44EV7IJE,0.17
VZEK4IOK,0.25
CZMKWRQN,0.06
VGQUQLXT,0.46
MS6GASNJ,0.13
4ENG9TKV,0.24
UHRRWLGR,0.14
APFSHZYP,0.04
M7MURWXC,0.65
3EOATQBT,0.01
MDZG7EZX,0.07
QZ6LSSTB,0.51
Y7EEZYYS,0.65
RYKLU6HL,0.23
CWQ8OAQ8,0.02
WSFUNE28,0.3
9PFQKPRB,0.12
MCLXWKBC,0.04
NWDXDZEN,0.32
EBLDBRDR,0.28
CJRW5JYT,0.06
CMMKRNUZ,0.52
EATPTPY3,0.1
J5AGUF6Q,0.42
8WYO2BBG,0.28
9EPXIMZB,0.04
UZERUG9W,0.24
QEQ79QUC,0.18
ZNHVE7QZ,0.21
PU3J43GY,0.14
HWDBXAUK,0.09
W74BHIAD,0.1
MGLDAPOA,0.0
BYFCPDX5,0.1
S2QDUDEJ,0.93
HBYRWBWL,0.0
8CIAWHWZ,0.3
ZFYFFXT5,0.88
UGIADHRB,0.53
JDDGRBSU,0.29
NBS2LTYW,0.32
DBKM3FRW,0.56
GLBHRXKB,0.01
9WDPTNCN,0.0
NVVVFQ9U,0.34
6AT635HW,0.05
HPHDI6NN,0.0
CPNAGJ95,0.66
FY6AFNCK,0.96
KWQAVZOE,0.5
HGBDE3LM,0.61
SYKEB6EV,0.26
9BROJWWS,0.59
CG8DGVAV,0.53
H7MT8CNK,0.04
GJVVWNKN,0.4
FXWTMJDG,0.01
OSNGFACM,0.24
PBFT55CF,0.99
4P8GFHSL,0.0
9ZZ4F4XF,0.53
CN4YERMU,0.33
8TUDLTWK,0.04
USFZPY7Z,0.07
VBJXREA8,0.16
9LBNXHQ2,0.13
PY6HCDWF,0.0
9VJMJR6X,0.11
4GAEJIQO,0.07
F34SD6YQ,0.18
HZ3BZVH6,0.24
9WVBAWEY,0.21
BPNYRSEH,0.06
7OGHEHO3,0.08
LRJZMHFT,0.04
PCHQW72T,0.23
BFJQGRFT,0.65
UVJ6UYBF,0.34
LRVO7MCH,0.28
EAOF4EYO,0.3
5HPCBEQQ,0.31
8FJBKABE,0.06
27J5UDAU,0.0
4MAT9RSM,0.69
SBDGZSY9,0.25
HPYN9M2Z,0.14
G7D2BESM,0.14
TWN7YQPN,0.01
BJRGMNFZ,0.1
9HFPJV3S,0.12
6WKJAUAG,0.04
BZUANVCU,0.49
NYWLDSFZ,0.12
LTW8JGAZ,0.01
IMDQJUTW,0.13
AVHZRCH8,0.61
LTSDWAVT,0.0
9WVKLADB,0.42
GXDSQJS2,0.0
4IHXKUNA,0.39
BTYDUQPC,0.06
BKCNFM72,0.14
UMVSSZ9N,0.05
N2STVKOI,0.0
ZZJQB3EY,0.73
FZJK9GH7,0.34
NTIWWNVB,0.01
NBCRWUBE,0.43
UBPYOBYG,0.57
K8RKMGVW,0.64
HFTH3NC2,0.01
759LCPDE,0.21
DYKME2AY,0.33
VZHURNZD,0.0
EAJJBYHU,0.32
T97TKZNT,0.61
IXOEQ2YD,0.9
BWKXTBCF,0.1
DNKPRVB3,0.37
JQCF2PXG,0.26
GIABLCP4,0.02
FDIC7S35,0.78
5RTNFJEV,0.01
OBZ4CU77,0.06
XMVX6WEB,0.18
MHARJGPA,0.0
2QI5GPDU,0.52
AE2NBAJ3,0.0
MDLANJZG,0.0
7TAP99MA,0.47
A6AMKR2Z,0.16
DX69CFXV,0.25
HKCKEKV4,0.46
CBNWXPJJ,0.28
Z3SJXFCA,0.1
RHTCABWR,0.94
ILGMVREG,0.12
BZK32SSP,0.57
25RR4UGE,0.0
9ZQFVNWY,0.19
FFSTFCAA,0.0
MBEDAX9Z,0.78
IYERPTUY,0.47
SBNMNBJE,0.0
CPWDDHBP,0.21
EN5EXSVB,0.07
EFT7687S,0.06
DUPIVFIW,0.23
HTVBHNFH,0.0
GFTV6AXH,0.04
NTNK2ZYN,0.06
NZ2MDLPM,0.43
UU4ECFQ5,0.5
FFWGNGVJ,0.0
JDQIBLRI,0.01
ZAWUVVWA,0.01
FC24V4XD,0.45
EKTZZYA2,0.65
RVRMHDD8,0.0
3RASGR5Y,0.11
QRBESHHG,0.0
MXYLFHSV,0.19
TY85POPR,0.05
BHXO9INE,0.0
S2RKLYZH,0.42
98GUQS9R,0.63
6VD8FK4Y,0.0
FMUHBZHQ,0.0
IHQY3US8,0.31
VDSNW6DR,0.34
JF8E8TCY,0.08
EKVBDN5B,0.23
LJOYHFHT,0.25
8WBDXKKG,0.53
LNAASJ6O,0.03
HGTW39J8,0.44
AMYH3YSJ,0.03
QZRPEWE6,0.05
9RBSJHBJ,0.48
EFZ3ADG9,0.0
CMQX6K9J,0.26
DBVXEJCR,0.08
PLYKWBFR,0.0
7QNURUDE,0.15
M8TD2YPV,0.7
JVJZVKUJ,0.08
XVUVCSM8,0.65
C9CMNJEH,0.42
IQLV6HTY,0.01
ELG7YZUM,0.0
PU9KWVOH,0.6
HAYJGRRV,0.03
KBKUHSLA,0.05
USL6KBDY,0.02
ZGLCSKTI,0.13
9JQWNRGA,0.01
EBVUVT88,0.07
9ZU5GNSK,0.19
EC7NIRSV,0.01
JJ23TDTX,0.5
IZWY5RYD,0.32
TSYCNH93,0.3
QSY6Q77W,0.49
TOBSGQ3J,0.27
FKGE6YRE,0.17
MGAYPPJE,0.0
IJRFUH6V,0.29
KX9Y3LCV,0.0
2ZDDJYHE,0.46
NBMLMYQE,0.25
E8XWCECR,0.14
5FP4HKBU,0.02
FUKFFD3F,0.59
8BDSMQUY,0.02
39T7KUFC,0.06
HZSPWI2U,0.89
LEJJKOWC,0.05
DR5F2HVS,0.11
BJA5TRWJ,0.28
NCVH9WFE,0.4
ME3XYUC5,0.12
VLCHSDHG,0.38
59CV3HQQ,0.17
JTAEBBQM,0.01
OBHDYLE2,0.4
EUEGA65T,0.01
MO9XWHWE,0.1
K3JSVGHE,0.04
JFHAQZQM,0.13
22IQJE4I,0.59
F57YH86H,0.04
BPNYWIPI,0.0
FJB78783,0.09
DIVE6ZUL,0.18
YACVPC9M,0.77
A3FM9UVE,0.05
9NE6ZC2Q,0.09
4NHTDBJN,0.18
3FH863BT,0.02
3UBBVIGN,0.37
NNP9TLV2,0.47
SA7VUUTE,0.0
ROG7ONJG,0.44
ICEBXJHF,0.45
HFTYHFAZ,0.39
EC5IQBEK,0.0
VQPXGNJV,0.01
BNE8WOYV,0.14
MKEXSYJN,0.02
B2MY2KQE,0.01
GZVND3WE,0.4
JZ8ASRBZ,0.96
UMQWVVHH,0.13
MDGISGP7,0.01
JMVHKVGP,0.06
G5GPWASE,0.22
A9H3PMBD,0.19
DKEMLQCU,0.12
VVPNRFRF,0.65
AVIBMJNL,0.06
3FNEIWTQ,0.0
WMQIVFIH,0.45
GUSEEXX5,0.08
HZBZ7QMH,0.01
KMTZWEXS,0.07
62AXBXBL,0.04
FW6GESXM,0.0
A67RATVB,0.22
HUWJHKEG,0.04
KCHF33KH,0.83
CJUKTB4B,0.16
FA8NWHGK,0.29
6UZE4NSH,0.26
4UUZBMXW,0.12
QMRXRYDB,0.04
M3A5BVAC,0.92
II63YKTB,0.14
4OYB27TY,0.15
IEN9X6H8,0.39
U9VVATUM,0.45
SFOYCMRR,0.51
O7WYJHA5,0.39
STEKRYHT,0.0
QSX9J6OF,0.33
EVT46GYN,0.02
IQHUPR8Z,0.36
98WUTF8M,0.03
5JUSHPUM,0.42
9FMK8FZU,0.01
WPWW4JUN,0.72
8QUXAAHS,0.04
EU8RGIP7,0.09
BFT7ZJQO,0.0
4EQAO8W3,0.59
F3RWQSVQ,0.4
FUA3S84W,0.02
G9WITTNH,0.01
TE4CM6N8,1.0
L93TY7Q6,0.05
MK46HOFS,0.16
NSUSAJ7C,0.01
ZQXJP6PH,0.58
YX6PNVKN,0.02
7V7IJDSU,0.15
BSDHE7F2,0.42
DV5EXZEZ,0.48
VDKS85PW,0.49
4W48SFHV,0.61
ANGVCUXZ,0.01
IOST7D8C,0.73
HAQAECZX,0.02
GAB49KQU,0.08
GEBCXWCU,0.61
JPT2DAGQ,0.35
RXYEGKFP,0.3
4R6HCRNW,0.0
MWRTSE9B,0.07
JAC7FJCA,0.36
5DCT43QX,0.01
GFZMAKDD,0.2
8WVWSZNF,0.07
KCBVOKZ8,0.7
NRCEX3F3,0.2
59KYREQZ,0.1
S2HTHOYG,0.0
98QJA4ZA,0.01
8S27HJRE,0.12
MTEWWARX,0.25
PH8LQUCB,0.35
BYB9URVZ,0.73
3TYYHEQU,0.12
WTOPV47E,0.45
HGNGPJXH,0.5
LE5M9QWH,0.04
7YR3Z54H,0.33
9DLYZCUW,0.07
RKYQQQL5,0.25
5UTFCCXZ,0.42
JCYRCTNE,0.37
AJIVJ4WE,0.38
JTCERL4D,0.13
XWS2DC9M,0.01
TVIX5INS,0.56
CIQZ4NJS,0.0
EJRPJ86R,0.06
HPQBQGWQ,0.07
FR38HJFG,0.14
JPXNNMXQ,0.51
HWED8UBF,0.63
CJ6ILARS,0.03
MBCCSXEA,0.02
4S84NTNM,0.18
ADGV3FDY,0.19
HSAJUCOR,0.3
HHV3JEXF,0.0
DHARALYV,0.58
KBVN65GH,0.27
UYHCQN7W,0.07
9VXSCU6F,0.17
F2DBEMXE,0.39
6VN358PX,0.14
T2J5Y8NB,0.19
HPXJGYEZ,0.96
CS5NAYPP,0.46
2UC6R5XE,0.38
KZ8TKYP4,0.0
Y8XIC3AH,0.46
GCT9PSGP,0.01
MPQQFX4I,0.25
8VCZYPZD,0.02
JCIQPZLE,0.03
AYSUMKSF,0.03
VVAVU9BN,0.13
F3NBRACB,0.36
FPIGVTHX,0.02
X7XNXJVW,0.01
JEKWRXYH,0.49
MNGYZO5U,0.28
FXPCJ7GE,0.31
BUXRB7CD,0.2
JV4MCTHN,0.13
JUFQ5PVJ,0.33
ENLVSM6O,0.1
CJHC43KV,0.71
N4NSCGHE,0.11
FUVHQRWB,0.0
GTQHBCF7,0.22
DSB6DIRV,0.02
BVUKQQRV,0.08
KZCHX6LW,0.07
M5XAM7HE,0.0
YODUTYZU,0.33
JEREISWR,0.32
FTHIZFGT,0.67
7TCFIDRX,0.01
V8CRCBLR,0.0
XEDZWKEX,0.63
RAD4GZKE,0.04
FY8NXMD2,0.01
KVZXQCUM,0.38
JXRP92WY,0.01
IYA3LI6E,0.47
FXEUAUMU,0.26
KXVZ3BNR,0.0
FTDASK8G,0.63
JZQZ7RWM,0.16
HNPMBXDN,0.26
3SUTYK7Z,0.0
EHAW2L37,0.0
H5HWWKTM,0.2
BQVSKRPN,0.19
EUK3CR9A,0.13
VRMGCTGP,0.0
ENDZJZGR,0.09
NSSYQFVN,0.12
7TRWUSYQ,0.94
7Z6JWBCW,0.38
7DR4UVAZ,0.22
H7YECJLG,0.1
CUNTRPMN,0.23
VQQEMTVX,0.22
NWMFKQLZ,0.0
FIUW4SGY,0.0
JCVXZSJS,0.21
VZRUA5XP,0.72
923REBWY,0.04
3FKWHVLC,0.03
V8JTYKKL,0.02
A4MRC8NU,0.51
CQJTCLCJ,0.37
L9O3NMDQ,0.0
7DFWCHAN,0.02
NK7CWSGK,0.16
OLLGNEK9,0.01
KVOLRR62,0.25
KAI7SJGY,0.22
5LYDNC27,0.22
LPGW9PN3,0.15
4WA5JPWP,0.04
GCDXLWAN,0.16
7V6GQUOD,0.76
ENYQCCWM,0.0
B3BUXXA4,0.19
PC7INMMF,0.11
6PJ9NW3X,0.23
DXYC8WIG,0.21
DPKUYNJK,0.3
6ZRSCJ6J,0.23
CPX4EYVB,0.41
T28RFIEL,0.05
D4GXBMM8,0.54
JMQJAZHA,0.0
RZSFMVB9,0.47
T2QWMIDV,0.47
GRM6UHIW,0.0
X2SD7FMK,0.62
I4SENFDI,0.02
YSNU9M3K,0.1
USGXXPJH,0.36
QPQZPSMH,0.12
QPZDTV5V,0.02
H28ZERNP,0.79
UNWHQWCY,0.26
7N8BRMDU,0.05
DFMGCWHV,0.35
8FP6ENF4,0.41
FAO6XGQE,0.13
X5FCJHQ5,0.11
GGFPEVFR,0.03
AP9SCCXC,0.44
WONWP8QB,0.06
CWEKUQ4P,0.45
C5CGJVQZ,0.22
HO4YRWYD,0.01
HLIYGGYA,0.04
QKAJK2VB,0.55
ZEZT2RND,0.2
9AVBPCUN,0.0
EZYK55RU,0.0
XLUTOAMB,0.06
DWU7CKFE,0.57
D6DQQIBU,0.72
QHQJZFZU,0.71
YP9SF5M4,0.03
VMYWFYEL,0.43
4XPSMAPQ,0.02
FKF7TQWV,0.35
FFSKJ4PJ,0.32
5UTEZSAB,0.0
5NKBKDHR,0.2
N3UXDVTF,0.68
5OY8PVUA,0.16
RSDW4ASM,0.0
LH8H3PTS,0.95
CSSGZP9Q,0.03
SKHABGYI,0.03
GFNPT3NG,0.26
CBKXYPE7,0.21
QGXXYFWE,0.3
DTLXTDMB,0.35
XQU9XWRT,0.01
NZMD3FOP,0.01
YHJCEHBM,0.26
P8Q24VFD,0.73
IMF54OGD,0.28
QXTFTJZR,0.29
RMBIAZPU,0.49
9VCZ5LPR,0.13
GSYBHMCW,0.07
X7C7Z2C3,0.04
FPUWSRYS,0.02
XPMQAAKG,0.31
EQ3C2DDV,0.42
WBBAFNBP,0.93
FYH9BSDA,0.29
JWNYLDQ2,0.07
OWYEXKMJ,0.73
PGE7SYWG,0.01
6S8GNM6C,0.23
EVGXQGGW,0.2
G3RBZKVF,0.02
WPRYJTHH,0.5
6PMYO4NW,0.21
4DPCCOT4,0.77
EVHK3KNC,0.23
C25XPJHR,0.01
MRAIW8WJ,0.0
FRHEUMRV,0.07
TDF6TDHD,0.19
MG2YF6UW,0.01
7GX9RWEC,0.48
6LM5QANA,0.58
J3DBQUJR,0.06
2O4EUQUG,0.11
COA38OVH,0.18
NUEETDF8,0.0
BP3FKBPZ,0.6
EEG8PEV4,0.03
G7JWN6JV,0.57
ESSIGXVU,0.1
8W6YED3T,0.2
TNCPHB6Z,0.12
SD3MES8O,0.01
3C3FBK8X,0.49
WUMUDSST,0.0
4DWPAOIX,0.01
5PRTDKXK,0.37
HVOBOSSI,0.18
4WTK9RBR,0.53
FEAFI9GC,0.49
EKN8UCSW,0.2
LEWKD4PA,0.35
B9JENQDR,0.26
BGVQQ2QF,0.56
SKA2MXXX,0.15
BRGRQGCV,0.1
FZDUYUZS,0.37
STHZCZMQ,0.77
AGWQXYSK,0.11
ZMXBDAFI,0.0
7HUWEUJO,0.0
RNPTWY6J,0.15
D63CE4JE,0.2
JWPYWNEU,0.05
CLU9WQQT,0.26
NR5WGFN3,0.07
F8TSYPVA,0.02
QP2KV4CW,0.0
GYKEBWCJ,0.65
F9S9YZME,0.16
N24NSEQJ,0.24
IDFGBLIU,0.1
FBOGFQFB,0.22
4VB7NFVX,0.0
R4I3U6WD,0.04
HNZWV5EM,0.53
UNFYHUVP,0.0
GJTTIERJ,0.46
5MAVNMJX,0.02
JZ4ZRZTA,0.07
8NG6UC8R,0.02
K9OYK83E,0.99
RB65FVXC,0.28
D2YB7S8P,0.78
9PFZ8GSE,0.01
KE9JE458,0.09
VO5TK8FH,0.1
RVXXEWTK,0.44
MS2BW42V,0.19
IZ2WTEUM,0.2
HFSBB5OA,0.27
I45PNTSC,0.22
AT8BBNEH,0.0
LGMCRTXE,0.39
FLHARRYM,0.38
D7SKYGEU,0.16
CDVFVZN7,0.08
CEWLRR8Y,0.0
LUCZHK3E,0.74
CXJPU8PX,0.09
EEZE8GXQ,0.12
JTGIKBCV,0.17
CJHYZVAV,0.48
BSZZU2BK,0.32
KSKVJWTS,0.29
N9BANBOO,0.44
X4KLM3YU,0.01
CYFJBWNG,0.18
JOUCPG5U,0.29
GQSWAG6M,0.07
7DQEOUAG,0.47
HA7JKNHG,0.49
FF7MPYXR,0.22
YMS7QOAS,0.24
DJ43FJEN,0.56
9G7CGD3C,0.03
DYBXGBFU,0.34
FJU3EAS5,0.22
2X4WKSFP,0.29
BUHDYYGL,0.03
